Indexed URL,Title,Location,Date Added,Date Ended,Company,Phone,Website,Error
https://www.segwayguidedtours.com/tour.cfm?Tour=5,Alaska Segway,"Anchorage, Alaska",Added: 3/1/04,,Tour Company:Alaska Segway,www.AlaskaSegway.com,Anchorage Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=7,City Segway Tours,"Paris, France",Added: 3/1/04,,Tour Company:City Segway Tours,www.CitySegwayTours.com,Paris Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=6,"SEGWOW, INC.","Los Angeles, California",Added: 3/1/04,05/03/2024,"Tour Company:SEGWOW, INC.",310.358-5900,www.segwow.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=4,"Florida Ever-Glides, Inc.","Sarasota, Florida",Added: 3/1/04,09/28/2023,"Tour Company:Florida Ever-Glides, Inc.",941.363-9556,www.FloridaEver-Glides.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=8,Thailand Segway Tours,"Bangkok, Thailand",Added: 3/1/04,,Tour Company:Thailand Segway Tours,www.ThailandSegwayTours.com,Bangkok Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=17,segs in the city,"Annapolis, Maryland",Added: 7/28/04,06/29/2022,Tour Company:segs in the city,800-SEGS-393,www.SegsInTheCity.net,
https://www.segwayguidedtours.com/tour.cfm?Tour=19,Magic Scooter,"Salt Lake City, Utah",Added: 3/1/04,,Tour Company:Magic Scooter,www.MagicScooter.com,Salt Lake City Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=29,City Segway Tours,"Chicago, Illinois",Added: 8/26/04,08/07/2020,Tour Company:City Segway Tours,877-SEG-TOUR,www.CitySegwayTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=12,Walt Disney World,"Orlando, Florida",Added: 3/1/04,11/20/2008,Tour Company:Walt Disney World,(407) WDW-TOUR,www.DisneyWorld.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=35,City Segway Tours,"Washington, DC",Added: 9/23/04,08/07/2020,Tour Company:City Segway Tours,877-SEG-TOUR,www.CitySegwayTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=9,Segway of Corvallis,"Corvallis, Oregon",Added: 7/26/04,,Tour Company:Segway of Corvallis,www.SegwayOfCorvallis.com,Corvallis Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=33,Segway South Africa,"Sun City, South Africa",Added: 10/2/04,09/05/2012,Tour Company:Segway South Africa,+27 14 557 4052,www.segway.co.za,
https://www.segwayguidedtours.com/tour.cfm?Tour=36,Segway South Africa,"Cape Town, South Africa",Added: 10/6/04,09/05/2012,Tour Company:Segway South Africa,+27 11 440 5044,www.segway.co.za,
https://www.segwayguidedtours.com/tour.cfm?Tour=47,Segway of Oakland,"Oakland, California",Added: 12/27/04,09/29/2023,Tour Company:Segway of Oakland,510.832-2429,www.SegwayOfOakland.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=38,Segway of Amelia Island,"Amelia Island, Florida",Added: 10/23/04,06/16/2012,Tour Company:Segway of Amelia Island,904.277.5120,www.AIPFL.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=37,San Francisco Electric Tour Company,"San Francisco, California",Added: 10/18/04,04/16/2015,Tour Company:San Francisco Electric Tour Company,415.474-3130,www.sfElectricTour.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=53,Segway of the Lehigh Valley,"Bethlehem, Pennsylvania",Added: 2/4/05,08/12/2019,Tour Company:Segway of the Lehigh Valley,866.469-5500,www.LehighValleySegway.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=49,Scenic Segways,"Saint George, Utah",Added: 1/14/05,11/10/2024,Tour Company:Scenic Segways,888-GO-SEGWAY,www.ScenicSegways.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=46,SegwayNYNY,"New York City, New York",Added: 12/13/04,08/08/2022,Tour Company:SegwayNYNY,917.861-8024,www.NYSegwayTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=59,Chicago Architecture Foundation,"Chicago, Illinois",Added: 3/30/05,,Tour Company:Chicago Architecture Foundation,www.architecture.org,Chicago Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=57,Segway Experience of Kansas City,"Kansas City, Missouri",Added: 3/21/05,09/19/2020,Tour Company:Segway Experience of Kansas City,816.531-0600,www.SegwayExperience.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=56,Segway Experience of Chicago,"Chicago, Illinois",Added: 3/22/05,,Tour Company:Segway Experience of Chicago,312.663-0600,www.MySegwayExperience.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=58,Italy Segway Tours,"Florence, Italy",Added: 3/21/05,,Tour Company:Italy Segway Tours,+39 055 2398855,www.ItalySegwayTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=62,Magical History Tour,"Minneapolis, Minnesota",Added: 3/1/04,06/15/2024,Tour Company:Magical History Tour,952-888-9200,www.MagicalHistoryTour.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=61,"Bayside Tours, Inc.","St. Petersburg, Florida",Added: 4/5/05,06/03/2023,"Tour Company:Bayside Tours, Inc.",727.896-3640,www.GyroGlides.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=65,"Cajun 2 Wheels, Inc.","Galveston, Texas",Added: 5/16/05,01/28/2011,"Tour Company:Cajun 2 Wheels, Inc.",281-684-8875,www.cajun2wheels.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=70,SegCity,"San Antonio, Texas",Added: 6/3/05,09/26/2024,Tour Company:SegCity,210.224-0773,www.SegCity.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=74,Segway Orange County,"Newport Beach, California",Added: 6/18/05,04/15/2016,Tour Company:Segway Orange County,949.723-1722,www.SegwayOrangeCounty.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=60,Gliding Revolution,"Austin, Texas",Added: 4/5/05,,Tour Company:Gliding Revolution,512.699-6051,www.GlidingRevolution.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=80,Pedal Power Vienna,"Vienna, Austria",Added: 7/7/05,08/07/2020,Tour Company:Pedal Power Vienna,0043 1 729 7234,www.CitySegwayTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=73,Segway of Sanibel,"Sanibel Island, Florida",Added: 6/15/05,05/29/2022,Tour Company:Segway of Sanibel,239.472-3620,www.SegwaySanibel.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=69,SegCity,"Austin, Texas",Added: 6/1/05,09/26/2024,Tour Company:SegCity,512.402-9299,www.SegCity.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=84,Segway Tours,"Stockholm, Sweden",Added: 7/25/05,04/25/2024,Tour Company:Segway Tours,+4670 425 11 20,www.segways.se,
https://www.segwayguidedtours.com/tour.cfm?Tour=86,GlideNow Tours,"Nashville, Tennessee",Added: 7/25/05,11/05/2018,Tour Company:GlideNow Tours,615.244-0555,www.SegwayOfNashville.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=90,Saint Louis Science Center,"St. Louis, Missouri",Added: 8/3/05,,Tour Company:Saint Louis Science Center,www.slsc.org,St. Louis Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=89,Tourism Board & Modern Human Mobility,"Steyr, Austria",Added: 8/3/05,,Tour Company:Tourism Board & Modern Human Mobility,www.Tourism-Steyr.at,Steyr Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=81,Back Country Outfitters & Guides,"Corolla, North Carolina",Added: 7/8/05,03/14/2016,Tour Company:Back Country Outfitters & Guides,252.453-0877,www.Segs-OnTheBeach.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=91,WeMove,"Noordwijk, Netherlands",Added: 8/7/05,10/03/2022,Tour Company:WeMove,+31(0)651261291,www.WeMove.nl,
https://www.segwayguidedtours.com/tour.cfm?Tour=92,St. Augustine Glided Tours LLC,"St. Augustine, Florida",Added: 8/17/05,04/10/2022,Tour Company:St. Augustine Glided Tours LLC,904.669-9806,www.SegwayStAugustine.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=94,Sausalito Electric Tour Company,"Sausalito, California",Added: 9/1/05,10/05/2024,Tour Company:Sausalito Electric Tour Company,415.474-3130,www.ElectricTourCompany.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=87,Dave's Mountain Tours,"Telluride, Colorado",Added: 7/30/05,08/21/2024,Tour Company:Dave's Mountain Tours,970.728-9749,www.TellurideTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=98,Blobject,"Cordoba, Spain",Added: 9/26/05,11/08/2024,Tour Company:Blobject,+34 957760033,www.Blobject.es,
https://www.segwayguidedtours.com/tour.cfm?Tour=76,Cuadriga's Tour SL,"Merida, Spain",Added: 6/26/05,04/22/2012,Tour Company:Cuadriga's Tour SL,34.609.10.40.20,www.cuadrigas.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=103,Scenic Segways,"Lake Las Vegas, Nevada",Added: 10/11/05,11/10/2024,Tour Company:Scenic Segways,888-GO-SEGWAY,www.ScenicSegways.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=104,Scenic Segways,"Snow Canyon Sp, Utah",Added: 10/11/05,11/10/2024,Tour Company:Scenic Segways,888-GO-SEGWAY,www.ScenicSegways.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=105,Scenic Segways,"Springdale, Utah",Added: 10/11/05,11/10/2024,Tour Company:Scenic Segways,888-GO-SEGWAY,www.ScenicSegways.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=95,Segway of Santa Barbara,"Santa Barbara, California",Added: 9/6/05,10/05/2024,Tour Company:Segway of Santa Barbara,805.963-7672,www.SegwayOfSB.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=106,City Segway Tours,"Atlanta, Georgia",Added: 10/14/05,08/07/2020,Tour Company:City Segway Tours,877-SEG-TOUR,www.CitySegwayTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=109,segs in the city,"Baltimore, Maryland",Added: 10/15/05,06/29/2022,Tour Company:segs in the city,800-SEGS-393,www.SegsInTheCity.net,
https://www.segwayguidedtours.com/tour.cfm?Tour=107,City Segway Tours,"Budapest, Hungary",Added: 10/14/05,,Tour Company:City Segway Tours,www.CitySegwayTours.com,Budapest Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=112,Segway New Mexico,"Albuquerque, New Mexico",Added: 10/21/05,,Tour Company:Segway New Mexico,www.SegwayNM.com,Albuquerque Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=97,IGo Segway Events,"Amsterdam, Netherlands",Added: 9/16/05,,Tour Company:IGo Segway Events,0031202051350,www.SegwayToursAmsterdam.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=119,Segs at the Science Center,"Baltimore, Maryland",Added: 11/5/05,10/08/2024,Tour Company:Segs at the Science Center,410.685-2370,www.mdsci.org,
https://www.segwayguidedtours.com/tour.cfm?Tour=111,Segway-CZ Praha,"Prague, Czech Republic",Added: 10/18/05,,Tour Company:Segway-CZ Praha,www.segway-cz.com,Prague Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=102,Lyon Segway,"Lyon, France",Added: 10/11/05,,Tour Company:Lyon Segway,www.LyonSegway.com,Lyon Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=122,Segway of Las Vegas,"Las Vegas, Nevada",Added: 1/14/05,,Tour Company:Segway of Las Vegas,702.877-3900,www.SegwayLV.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=123,Segway of Las Vegas,"Red Rock Canyon, Nevada",Added: 11/7/05,,Tour Company:Segway of Las Vegas,702.877-3900,www.SegwayLV.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=126,SegTours of Anchorage,"Anchorage, Alaska",Added: 11/13/05,,Tour Company:SegTours of Anchorage,907.441-1124,www.SegTours.net,
https://www.segwayguidedtours.com/tour.cfm?Tour=113,Segway New Mexico,"Santa Fe, New Mexico",Added: 10/21/05,,Tour Company:Segway New Mexico,www.SegwayNM.com,Santa Fe Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=114,Capital Segway,"Washington, DC",Added: 10/31/05,,Tour Company:Capital Segway,202.682-1980,www.CapitalSegway.com,
